alpha,mean_reward,std
0.0,93.99199999999999,76.16424105838645
0.05,93.688,73.91292347079772
0.1,97.312,74.9820134165521
0.2,93.84,76.26948013458595
0.3,93.35199999999999,73.40048348614606
